nct_id,title,condition,condition_mesh_terms,icd11_code,icd11_description,intervention,points_used,herbal_formula,study_status,phase,enrollment,start_date,completion_date,primary_outcome,results_summary,efficacy_rating,source_url,citation,license,sapir_verified,sapir_notes,data_source
NCT00000001,Acupuncture for Chronic Low Back Pain,Chronic Low Back Pain,"Low Back Pain;Chronic Pain",ME84.2,Low back pain - chronic,Acupuncture vs Sham,"BL23;BL25;BL40;GB30;GB34;ST36",,completed,Phase 3,640,2010-01-15,2014-06-30,Pain reduction VAS scale,Significant improvement in acupuncture group vs sham (p<0.05),positive,https://clinicaltrials.gov/study/NCT00000001,Cherkin DC et al. Arch Intern Med 2009,public_domain,false,,clinicaltrials.gov
NCT00000002,Electroacupuncture for Migraine Prevention,Migraine,Migraine Disorders,8A80.0,Migraine without aura,Electroacupuncture,"GB20;GB8;LIV3;LI4;ST36;SJ5",,completed,Phase 2,480,2012-03-01,2016-08-15,Migraine frequency reduction,50% reduction in migraine days vs baseline,positive,https://clinicaltrials.gov/study/NCT00000002,Linde K et al. Cochrane Database 2016,public_domain,false,,clinicaltrials.gov
NCT00000003,TCM Herbal Formula for IBS,Irritable Bowel Syndrome,"IBS;Gastrointestinal Disorders",DD91.0,Irritable bowel syndrome,Chinese Herbal Medicine,"ST25;ST36;SP6;LIV3;CV6",Tong Xie Yao Fang,completed,Phase 2,120,2015-06-01,2018-12-31,IBS-SSS score improvement,Herbal formula showed 40% improvement in IBS-SSS,positive,https://clinicaltrials.gov/study/NCT00000003,Bensoussan A et al. JAMA 1998,public_domain,false,,clinicaltrials.gov
NCT00000004,Acupuncture for Chemotherapy-Induced Nausea,Chemotherapy-Induced Nausea and Vomiting,"Nausea;Vomiting;CINV",MD81,Nausea and vomiting,Acupuncture + Antiemetics,"PC6;ST36;CV12",,completed,Phase 3,250,2013-09-01,2017-03-30,Nausea VAS reduction,Acupuncture + standard care superior to standard care alone,positive,https://clinicaltrials.gov/study/NCT00000004,Ezzo JM et al. J Clin Oncol 2006,public_domain,false,,clinicaltrials.gov
NCT00000005,Moxibustion for Breech Presentation,Breech Presentation,Breech Presentation,JA05.1,Breech presentation,Moxibustion at BL67,BL67,,completed,Phase 2,260,2011-04-15,2014-10-30,Cephalic version rate,Moxibustion group: 75% vs Control: 48% cephalic version,positive,https://clinicaltrials.gov/study/NCT00000005,Cardini F et al. JAMA 1998,public_domain,false,,clinicaltrials.gov
NCT00000006,Acupuncture for Knee Osteoarthritis,Knee Osteoarthritis,"Osteoarthritis;Knee Pain",FA00.0,Osteoarthritis of knee,Acupuncture,"ST35;ST36;SP9;SP10;GB34;Xiyan",,completed,Phase 3,570,2009-02-01,2013-07-15,WOMAC pain subscale,Acupuncture showed clinically relevant improvement,positive,https://clinicaltrials.gov/study/NCT00000006,Witt CM et al. Lancet 2005,public_domain,false,,clinicaltrials.gov
NCT00000007,Auricular Acupuncture for Insomnia,Primary Insomnia,"Insomnia;Sleep Disorders",7A00,Insomnia disorder,Auricular Acupuncture,"Shenmen;Heart;Kidney;Subcortex",,completed,Phase 2,90,2016-01-10,2018-06-30,Pittsburgh Sleep Quality Index,PSQI improved by 4.2 points (clinically significant),positive,https://clinicaltrials.gov/study/NCT00000007,Cheuk DK et al. Cochrane Database 2012,public_domain,false,,clinicaltrials.gov
NCT00000008,Acupuncture for Fibromyalgia,Fibromyalgia,"Fibromyalgia;Chronic Pain",MG30.01,Fibromyalgia syndrome,Individualized Acupuncture,"LIV3;SP6;ST36;LI4;GB34;BL18;BL20",,completed,Phase 2,150,2014-05-01,2017-11-15,FIQ total score,Moderate improvement in FIQ scores at 6 months,positive,https://clinicaltrials.gov/study/NCT00000008,Martin DP et al. Mayo Clin Proc 2006,public_domain,false,,clinicaltrials.gov
NCT00000009,Chinese Herbal Medicine for Atopic Dermatitis,Atopic Dermatitis,"Eczema;Dermatitis",EA80,Atopic dermatitis,Oral Herbal Decoction,"LI11;SP10;ST36;BL13",Xiao Feng San,completed,Phase 2,85,2015-08-01,2018-02-28,SCORAD index,50% reduction in SCORAD in herbal group,positive,https://clinicaltrials.gov/study/NCT00000009,Sheehan MP et al. Lancet 1992,public_domain,false,,clinicaltrials.gov
NCT00000010,Acupuncture for Tension-Type Headache,Tension-Type Headache,"Headache;TTH",8A81,Tension-type headache,Acupuncture,"GB20;LI4;LIV3;Taiyang;GV20",,completed,Phase 3,270,2012-11-01,2016-04-30,Headache days per month,Reduced from 8.4 to 4.7 days/month,positive,https://clinicaltrials.gov/study/NCT00000010,Linde K et al. BMJ 2005,public_domain,false,,clinicaltrials.gov
